Time step,Vab,Vbc,Vca,Ia,Ib,Ic,,,,,W1,W2
-0.045664,-284,186,54.844,1.3328,2.1695,-3.3281,,,,,-378.5152,
-0.045656,-279.78,184,59.375,1.4094,2.2797,-3.2906,,,,,-394.321932,
-0.045648,-280.44,186.81,60.688,1.393,2.2281,-3.2344,,,,,-390.65292,
-0.04564,-281.41,180.62,57.625,1.2445,2.2641,-3.2453,,,,,-350.214745,
-0.045632,-277.88,185.75,59.312,1.3898,2.1672,-3.2398,,,,,-386.197624,
-0.045624,-278.94,182.19,62.375,1.3125,2.2008,-3.2383,,,,,-366.10875,
-0.045616,-281.56,185.84,63.062,1.4289,2.1852,-3.343,,,,,-402.321084,
-0.045608,-279.12,181.72,63.906,1.3141,2.2328,-3.3484,,,,,-366.791592,
-0.0456,-283.19,182.22,63.844,1.2117,2.1969,-3.1906,,,,,-343.141323,
-0.045592,-283.59,183.53,65.219,1.2422,2.2766,-3.2484,,,,,-352.275498,
-0.045584,-281.78,186.31,67.156,1.2305,2.2398,-3.4008,,,,,-346.73029,
-0.045576,-282.78,179,62.031,1.2109,2.3094,-3.3281,,,,,-342.418302,
-0.045568,-282.22,183.78,64.969,1.2625,2.2648,-3.2563,,,,,-356.30275,
-0.04556,-282.22,180.09,68,1.1906,2.2766,-3.3234,,,,,-336.011132,
-0.045552,-285.09,181.78,65.312,1.268,2.2344,-3.2672,,,,,-361.49412,
-0.045544,-283.12,181.66,67.688,1.2188,2.2945,-3.3781,,,,,-345.066656,
-0.045536,-283.66,179,63.875,1.2398,2.3391,-3.2953,,,,,-351.681668,
-0.045528,-284.81,180.12,71.344,1.1141,2.2227,-3.2062,,,,,-317.306821,
-0.04552,-284.31,180.59,70.688,1.225,2.2609,-3.1828,,,,,-348.27975,
-0.045512,-284.22,174.12,70.906,1.1406,2.3289,-3.2656,,,,,-324.181332,
-0.045504,-282.53,181.56,67.594,1.15,2.3852,-3.2578,,,,,-324.9095,
-0.045496,-280.34,175.34,74.906,1.1195,2.2805,-3.2203,,,,,-313.84063,
-0.045488,-287.91,176.12,71.062,1.1906,2.257,-3.2602,,,,,-342.785646,
-0.04548,-286.22,175.84,69.812,1.1992,2.3711,-3.3055,,,,,-343.235024,
-0.045472,-284.44,173.88,70.562,1.107,2.3492,-3.2969,,,,,-314.87508,
-0.045464,-284.72,176.09,72.406,1.1266,2.4055,-3.2148,,,,,-320.765552,
-0.045456,-287.88,178.94,73.156,1.1023,2.3539,-3.157,,,,,-317.330124,
-0.045448,-288.97,173.75,76.5,1.1844,2.4109,-3.2687,,,,,-342.256068,
-0.04544,-286.31,174.09,73.875,1.1703,2.4172,-3.2469,,,,,-335.068593,
-0.045432,-281.62,170.53,80.406,1.1555,2.3648,-3.2625,,,,,-325.41191,
-0.045424,-290.53,169.88,74.781,1.0977,2.3234,-3.2563,,,,,-318.914781,
-0.045416,-278.72,168.78,79,0.98359,2.5141,-3.2305,,,,,-274.1462048,
-0.045408,-285.62,170.28,76.562,1.0562,2.3969,-3.1922,,,,,-301.671844,
-0.0454,-284.91,170.28,80.531,1.0977,2.4242,-3.2797,,,,,-312.745707,
-0.045392,-286.69,168.84,79,0.94453,2.4891,-3.325,,,,,-270.7873057,
-0.045384,-285.84,167.12,84.344,1.0406,2.4156,-3.2727,,,,,-297.445104,
-0.045376,-284.75,171.22,82.875,1.0117,2.3852,-3.1289,,,,,-288.081575,
-0.045368,-287.56,169.44,81.406,0.99375,2.5281,-3.2711,,,,,-285.76275,
-0.04536,-288.34,168.78,77.25,1.0359,2.418,-3.2914,,,,,-298.691406,
-0.045352,-288.66,165.84,88.375,1.0406,2.4789,-3.4148,,,,,-300.379596,
-0.045344,-286.56,166.81,81.688,0.92656,2.6055,-3.1688,,,,,-265.5150336,
-0.045336,-290.06,166.16,85.25,0.95703,2.543,-3.4398,,,,,-277.5961218,
-0.045328,-288.25,168.06,81.312,0.96875,2.4234,-3.2773,,,,,-279.2421875,
-0.04532,-288.47,165.78,80.562,1.0195,2.4898,-3.2641,,,,,-294.095165,
-0.045312,-287.06,168.53,84.562,0.97578,2.5227,-3.2227,,,,,-280.1074068,
-0.045304,-289.88,160.62,90.812,0.91094,2.5586,-3.2461,,,,,-264.0632872,
-0.045296,-283.38,165.78,89.719,1.0398,2.4562,-3.2078,,,,,-294.658524,
-0.045288,-285.47,160.5,88.375,1.0242,2.5703,-3.3047,,,,,-292.378374,
-0.04528,-291.5,160.78,88.125,0.87891,2.6359,-3.2852,,,,,-256.202265,
-0.045272,-289.5,160.38,89.906,0.84766,2.6484,-3.3445,,,,,-245.39757,
-0.045264,-287.62,160.94,91.188,0.89375,2.5828,-3.2,,,,,-257.060375,
